symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@IXIC,20230426,11913.23,11967.99,11833.07,11854.35,55.19,0.47,541188237
NAS@IXIC,20230425,11968.81,11990.46,11798.77,11799.16,-238.04,-1.98,500793836
NAS@IXIC,20230424,12053.47,12103.58,11960.31,12037.2,-35.26,-0.29,496062344
NAS@IXIC,20230421,12046.03,12097.15,11986.82,12072.46,12.9,0.11,489284300
NAS@IXIC,20230420,12039.08,12155.96,12011.95,12059.56,-97.67,-0.8,462760322
NAS@IXIC,20230419,12063.68,12191.1,12060.17,12157.23,3.82,0.03,505169071
NAS@IXIC,20230418,12234.56,12245.43,12110.23,12153.41,-4.31,-0.04,493617967
NAS@IXIC,20230417,12108.23,12159.02,12064.1,12157.72,34.25,0.28,485927270
NAS@IXIC,20230414,12117.91,12205.72,12026.55,12123.47,-42.8,-0.35,467526838
NAS@IXIC,20230413,11997.42,12178.8,11995.94,12166.27,236.93,1.99,493255164
NAS@IXIC,20230412,12110.87,12134.5,11916.54,11929.34,-102.54,-0.85,497715728
NAS@IXIC,20230411,12080.24,12091.27,12011.4,12031.88,-52.48,-0.43,470178603
NAS@IXIC,20230410,11975.14,12084.95,11924.2,12084.36,-3.6,-0.03,432932654
NAS@IXIC,20230406,11939.08,12098.5,11898.36,12087.96,91.1,0.76,391545203
NAS@IXIC,20230405,12081.76,12086.75,11931.85,11996.86,-129.47,-1.07,440417423
NAS@IXIC,20230404,12208.49,12224.68,12081.81,12126.33,-63.12,-0.52,423057244
NAS@IXIC,20230403,12146.09,12196.34,12086.52,12189.45,-32.46,-0.27,483996503
NAS@IXIC,20230331,12031.54,12227.93,12030.44,12221.91,208.44,1.74,551282836
NAS@IXIC,20230330,12010.45,12044.79,11953.37,12013.47,87.23,0.73,479301979
NAS@IXIC,20230329,11855.59,11941.6,11823.35,11926.24,210.16,1.79,458107318
NAS@IXIC,20230328,11752.76,11752.76,11635.03,11716.08,-52.76,-0.45,403562468
NAS@IXIC,20230327,11868.54,11903.21,11739.05,11768.84,-55.12,-0.47,429673637
NAS@IXIC,20230324,11747.62,11826.23,11670.67,11823.96,36.56,0.31,434748582
NAS@IXIC,20230323,11811.32,11962.69,11684.52,11787.4,117.44,1.01,493217504
NAS@IXIC,20230322,11857.5,12013.99,11666.85,11669.96,-190.15,-1.6,502246032
NAS@IXIC,20230321,11764.79,11879.16,11724.91,11860.11,184.57,1.58,480651475
NAS@IXIC,20230320,11614.39,11695.55,11550.69,11675.54,45.03,0.39,501162270
NAS@IXIC,20230317,11696.35,11773.11,11562.63,11630.51,-86.77,-0.74,776510498
NAS@IXIC,20230316,11384.87,11733.8,11365.49,11717.28,283.23,2.48,549793412
NAS@IXIC,20230315,11291.17,11447.9,11238.44,11434.05,5.9,0.05,591546767
NAS@IXIC,20230314,11357.74,11467.02,11284.93,11428.15,239.31,2.14,553401356
NAS@IXIC,20230313,11041.46,11326.73,10982.8,11188.84,49.95,0.45,620254053
NAS@IXIC,20230310,11325.36,11373.81,11093.86,11138.89,-199.47,-1.76,620154184
NAS@IXIC,20230309,11578.31,11667.12,11319.98,11338.36,-237.64,-2.05,509956710
NAS@IXIC,20230308,11553.09,11601.23,11487.75,11576.0,45.67,0.4,511442612
NAS@IXIC,20230307,11670.98,11705.97,11512.03,11530.33,-145.41,-1.25,558306586
NAS@IXIC,20230306,11736.87,11827.92,11667.48,11675.74,-13.27,-0.11,501156824
NAS@IXIC,20230303,11524.65,11699.63,11514.74,11689.01,226.03,1.97,510621481
NAS@IXIC,20230302,11273.77,11487.59,11273.61,11462.98,83.5,0.73,542295664
NAS@IXIC,20230301,11447.58,11479.0,11349.87,11379.48,-76.06,-0.66,497634468
NAS@IXIC,20230228,11451.05,11548.23,11435.39,11455.54,-11.44,-0.1,529503618
NAS@IXIC,20230227,11517.19,11565.23,11444.6,11466.98,72.04,0.63,451957953
NAS@IXIC,20230224,11404.18,11434.36,11334.47,11394.94,-195.46,-1.69,447561613
NAS@IXIC,20230223,11636.93,11638.98,11432.58,11590.4,83.33,0.72,466864426
NAS@IXIC,20230222,11517.2,11582.52,11445.17,11507.07,14.77,0.13,465882556
NAS@IXIC,20230221,11640.37,11684.14,11491.18,11492.3,-294.97,-2.5,501286611
NAS@IXIC,20230217,11777.51,11803.22,11673.21,11787.27,-68.56,-0.58,492456909
NAS@IXIC,20230216,11896.31,12040.34,11853.36,11855.83,-214.76,-1.78,516797647
NAS@IXIC,20230215,11905.12,12071.29,11876.82,12070.59,110.44,0.92,502326871
NAS@IXIC,20230214,11808.2,11999.85,11760.57,11960.15,68.36,0.57,503434236
NAS@IXIC,20230213,11759.09,11910.92,11719.73,11891.79,173.67,1.48,471982742
NAS@IXIC,20230210,11714.6,11775.8,11630.54,11718.12,-71.46,-0.61,486334201
NAS@IXIC,20230209,12069.1,12070.96,11745.11,11789.58,-120.94,-1.02,557523265
NAS@IXIC,20230208,12069.12,12096.39,11890.09,11910.52,-203.27,-1.68,508706952
NAS@IXIC,20230207,11891.25,12150.22,11836.78,12113.79,226.34,1.9,572082713
NAS@IXIC,20230206,11904.41,11973.41,11843.49,11887.45,-119.51,-1.0,556742546
NAS@IXIC,20230203,11946.86,12231.31,11946.86,12006.96,-193.86,-1.59,595056113
NAS@IXIC,20230202,12065.15,12269.56,12024.14,12200.82,384.5,3.25,717015213
NAS@IXIC,20230201,11573.14,11904.02,11500.33,11816.32,231.77,2.0,643261562
NAS@IXIC,20230131,11398.58,11586.01,11398.37,11584.55,190.74,1.67,563833488
NAS@IXIC,20230130,11512.34,11553.31,11388.54,11393.81,-227.9,-1.96,512918274
NAS@IXIC,20230127,11470.47,11691.89,11470.27,11621.71,109.3,0.95,631901043
NAS@IXIC,20230126,11458.41,11516.05,11341.19,11512.41,199.05,1.76,580771563
NAS@IXIC,20230125,11146.53,11334.22,11069.18,11313.36,-20.91,-0.18,558370685
NAS@IXIC,20230124,11302.93,11378.15,11282.65,11334.27,-30.14,-0.27,577792402
NAS@IXIC,20230123,11171.94,11405.5,11144.03,11364.41,223.98,2.01,604174398
NAS@IXIC,20230120,10924.66,11143.17,10885.65,11140.43,288.16,2.66,598241048
NAS@IXIC,20230119,10890.4,10932.52,10804.57,10852.27,-104.74,-0.96,467610511
NAS@IXIC,20230118,11170.95,11223.41,10952.05,10957.01,-138.1,-1.24,524013094
NAS@IXIC,20230117,11070.0,11145.44,11024.72,11095.11,15.95,0.14,516476694
NAS@IXIC,20230113,10906.37,11084.01,10900.16,11079.16,78.05,0.71,509788717
NAS@IXIC,20230112,10969.26,11027.75,10797.12,11001.11,69.44,0.64,565060175
NAS@IXIC,20230111,10794.99,10932.44,10762.73,10931.67,189.04,1.76,529749663
NAS@IXIC,20230110,10607.72,10743.67,10589.6,10742.63,106.98,1.01,474658446
NAS@IXIC,20230109,10662.11,10807.26,10619.12,10635.65,66.36,0.63,508787316
NAS@IXIC,20230106,10363.96,10604.14,10265.04,10569.29,264.05,2.56,520079477
NAS@IXIC,20230105,10390.31,10393.22,10295.25,10305.24,-153.52,-1.47,478273225
NAS@IXIC,20230104,10467.82,10515.22,10337.64,10458.76,71.77,0.69,508374393
NAS@IXIC,20230103,10562.06,10613.06,10309.16,10386.99,-79.49,-0.76,476907028
NAS@IXIC,20221230,10368.37,10468.31,10324.7,10466.48,-11.61,-0.11,394610542
NAS@IXIC,20221229,10321.46,10502.08,10301.06,10478.09,264.8,2.59,414152317
NAS@IXIC,20221228,10339.2,10414.82,10207.47,10213.29,-139.94,-1.35,385401584
NAS@IXIC,20221227,10462.19,10472.32,10340.73,10353.23,-144.63,-1.38,383330874
NAS@IXIC,20221223,10437.75,10514.76,10361.82,10497.86,21.74,0.21,352713198
NAS@IXIC,20221222,10586.46,10599.34,10313.32,10476.12,-233.25,-2.18,508410792
NAS@IXIC,20221221,10592.0,10753.57,10569.2,10709.37,162.26,1.54,436816186
NAS@IXIC,20221220,10490.89,10609.47,10446.82,10547.11,1.08,0.01,463932835
NAS@IXIC,20221219,10707.44,10713.97,10497.55,10546.03,-159.38,-1.49,462260383
NAS@IXIC,20221216,10767.64,10832.72,10642.1,10705.41,-105.12,-0.97,801643716
NAS@IXIC,20221215,11012.62,11029.57,10775.61,10810.53,-360.36,-3.23,556965096
NAS@IXIC,20221214,11248.09,11352.09,11065.24,11170.89,-85.92,-0.76,549734378
NAS@IXIC,20221213,11542.84,11571.64,11160.54,11256.81,113.07,1.01,610754385
NAS@IXIC,20221212,11015.48,11144.67,10984.82,11143.74,139.12,1.26,481579328
NAS@IXIC,20221209,11038.17,11138.7,10999.26,11004.62,-77.38,-0.7,431445295
NAS@IXIC,20221208,11011.33,11119.16,10939.47,11082.0,123.45,1.13,428378399
NAS@IXIC,20221207,10963.95,11039.81,10910.62,10958.55,-56.34,-0.51,432745832
NAS@IXIC,20221206,11228.42,11240.62,10956.2,11014.89,-225.05,-2.0,470533345
NAS@IXIC,20221205,11380.99,11425.51,11193.03,11239.94,-221.56,-1.93,451109302
NAS@IXIC,20221202,11308.38,11492.32,11296.72,11461.5,-20.95,-0.18,450633131
NAS@IXIC,20221201,11475.17,11546.77,11378.75,11482.45,14.45,0.13,514393485
