해역,연안명칭,수온,수소이온농도,용존산소
동해,거진연안,13.6603125,8.15625,9.311068017
동해,속초연안,14.88184375,8.198125,8.999972721
동해,양양연안,14.97674375,8.18125,9.007499724
동해,주문진연안,15.244655,8.128,8.72840507
동해,강릉연안,15.61351786,8.132285714,8.684613569
동해,동해연안,15.80589375,8.170625,8.800030981
동해,삼척연안,16.1477875,8.183125,8.717720966
동해,죽변연안,16.5421625,8.263333333,8.75418369
동해,후포연안,17.5799625,8.16,8.347576856
동해,축산연안,17.582275,8.17625,8.498161401
동해,강구연안,16.761325,8.14,8.787236475
동해,월포연안,16.7100625,8.1875,8.595596023
동해,영일만,16.63999375,8.2225,8.69164643
동해,구룡포연안,17.576975,8.1425,8.309732447
동해,감포연안,17.4383125,8.17125,8.153806148
남해,울산연안,17.38087708,8.172291667,7.866749995
남해,온산연안,17.40066944,8.230277778,8.194717503
남해,기장연안,17.99796875,8.23125,8.042499725
남해,부산연안,17.70707059,8.232941176,7.997605498
남해,낙동강하구,18.27729375,8.28625,8.222499588
남해,신항연안,16.2382,8.19625,7.399335996
남해,행암만,17.15418125,8.28,8.458214174
남해,마산만,16.91155833,8.219666667,7.675975874
남해,진해만,16.93511944,8.1975,8.138209342
남해,거제도동안,18.95244375,8.235,8.242642515
남해,거제도남안,17.505175,8.173125,7.654307543
남해,통영연안,17.597975,8.134375,8.068684348
남해,통영외안,17.950075,8.205,7.933956822
남해,고성자란만,17.62426667,8.061666667,7.79450028
남해,사천연안,17.4588875,8.10125,7.595874918
남해,진주만,16.7360625,8.135,8.210898469
남해,남해도남안,17.347705,8.233,8.325624173
남해,광양만,17.54413125,8.131666667,7.86805963
남해,여수연안,17.22476,8.179,7.75312924
남해,가막만,16.72626,8.185,8.32311237
남해,여자만,16.30605833,8.159166667,8.006775588
남해,고흥연안,16.7867125,8.2125,8.216646463
남해,득량만,16.75423,8.197,8.495375678
제주,제주연안,17.65239167,8.174166667,8.291923936
제주,조천연안,17.54779167,8.158333333,8.099686493
제주,성산연안,18.4785625,8.16375,8.289880671
제주,표선연안,18.84235,8.19375,7.998413163
제주,서귀포연안,18.8044,8.13,8.19435338
제주,대정연안,18.41263333,8.13,8.42267791
제주,한림연안,18.23346667,8.154166667,8.50666071
남해,완도연안,16.754425,8.144,9.395198441
남해,도암만,16.48414583,8.074166667,10.34210867
남해,진도연안,15.73675,8.065625,9.833380958
서해,해남만,16.8136625,8.21,9.621709491
서해,목포연안,16.3051375,8.1284375,8.732762947
서해,신안연안,15.7929625,8.12625,8.726929885
서해,무안연안,15.87555,8.134166667,10.0435777
서해,함평연안,15.28969375,7.945,10.28576336
서해,고창연안,16.42760625,8.206875,9.62397117
서해,전주포연안,14.62976563,8.2125,9.007898827
서해,군산연안,14.569965,8.13325,8.377301442
서해,보령연안,15.07411875,8.131875,8.426255056
서해,천수만,15.24202143,8.144642857,8.380433773
서해,태안연안,13.5259,8.1065,8.414869626
서해,가로림연안,12.9168875,8.09625,8.472438814
서해,대산연안,13.1381875,8.078125,8.658952361
서해,아산연안,13.69713,8.048,8.916376525
서해,인천연안,14.14788587,8.024782609,8.776540714
서해,시화호,15.10552,8.08,9.13375
동해,거진항,13.2194,8.145,10.40675822
동해,속초항,14.9366,8.0475,8.173438743
동해,주문진항,14.1035,8.0,8.172585673
동해,묵호항,15.12625,8.0275,9.095084312
동해,삼척항,14.85315,8.155,8.909529824
동해,죽변항,18.46245,8.145,8.956358634
동해,후포항,19.17355,8.09,8.371412843
동해,축산항,19.21,8.03,8.1293413
동해,강구항,17.971,8.045,8.358984548
동해,포항 구항,15.7372,8.1875,8.132279422
동해,구룡포항,19.2989,8.105,9.156999779
동해,감포항,19.46025,8.08,8.529667568
남해,울산항,18.6645,8.05,7.858028649
남해,대변항,18.63735,8.215,8.09704866
남해,부산항,18.70525625,8.245625,7.671462368
남해,신항,16.70245,8.225,7.496616522
남해,마산항,16.38515,8.195,7.192833004
남해,옥포항,19.378075,8.2625,8.524141334
남해,삼덕항,17.96705,8.1975,8.025680151
남해,삼천포항,17.58625,8.065,7.098090501
남해,광 양 만,17.06145,8.115,7.856631961
남해,여수신항,15.97538333,8.22,9.037524478
남해,제주항,17.629525,8.2925,8.124486516
남해,성산항,17.6974,8.305,8.512498419
남해,서귀포항,18.656,8.295,7.761430621
남해,한림항,17.2524,8.215,8.359911479
남해,완도항,16.4274,8.21,9.168732893
서해,목포항,16.008,8.16,9.656208576
서해,대천항,15.19865,8.155,8.726331178
서해,평택항,14.05685,8.06,8.460653772
서해,인천항,14.56465,7.94,8.563565747
동해,동해중부,0.0,0.0,0.0
동해,동해남부,0.0,0.0,0.0
남해,남해동부,0.0,0.0,0.0
남해,남해서부,0.0,0.0,0.0
서해,서해남부,0.0,0.0,0.0
서해,서해중부,0.0,0.0,0.0
서해,섬진강,16.7112725,8.07425,9.27121613
서해,낙동강하구,18.019105,8.2045,8.494855619
연안,진해만,16.997275,8.209545455,8.302581995
특별관리,진해만,16.637625,8.22875,7.979558374
동해,거진연안,15.2465875,8.16125,8.783632202
동해,속초연안,15.6458875,8.174375,8.400465163
동해,양양연안,16.62073125,8.16375,8.505130413
동해,주문진연안,17.006185,8.2,8.550914374
동해,강릉연안,16.76182143,8.216071429,8.593708255
동해,동해연안,16.46255625,8.2,8.954848819
동해,삼척연안,16.81513125,8.2075,8.928992405
동해,죽변연안,16.92533333,8.23625,9.481282112
동해,후포연안,18.518575,8.2,8.409524094
동해,축산연안,18.6298375,8.2175,8.365347069
동해,강구연안,17.3555875,8.19875,8.255162634
동해,월포연안,17.1708,8.18,8.428741511
동해,영일만,16.82889583,8.221041667,8.625165611
동해,구룡포연안,18.10135,8.185,7.930937618
동해,감포연안,18.29920625,8.18375,7.867390414
남해,울산연안,17.70101875,8.131875,7.843420883
남해,온산연안,17.75695278,8.159166667,7.886584161
남해,기장연안,18.0077875,8.2975,8.060914575
남해,부산연안,17.88584706,8.283088235,8.391432267
남해,낙동강하구,18.64113125,8.295625,8.115065092
남해,신항연안,17.242525,8.21,8.078619412
남해,행암만,18.6827125,8.36125,9.778288384
남해,마산만,17.21187167,8.2865,8.568627404
남해,진해만,17.51150278,8.229444444,8.416655763
남해,거제도동안,18.215525,8.239375,8.798962426
남해,거제도남안,17.9175,8.171875,8.957460141
남해,통영연안,17.887875,8.16875,8.294273039
남해,통영외안,17.79414583,8.215833333,9.134609393
남해,고성자란만,18.17853333,8.159166667,7.98057999
남해,사천연안,17.18191875,8.185625,8.580493968
남해,진주만,17.3459,8.235,8.928584509
남해,남해도남안,17.871215,8.2455,8.653766005
남해,광양만,17.54202292,8.233604167,8.720516127
남해,여수연안,17.401345,8.2635,8.890653625
남해,가막만,16.879725,8.2105,8.743811951
남해,여자만,17.294275,8.15,8.315908594
남해,고흥연안,16.6434625,8.2046875,8.440551191
남해,득량만,16.563725,8.1645,8.443367851
제주,제주연안,19.9325,8.175833333,9.23987386
제주,조천연안,19.89665,8.195833333,8.940488747
제주,성산연안,20.3068875,8.2025,8.761464007
제주,표선연안,20.78685,8.2075,8.88370598
제주,서귀포연안,20.6778,8.1875,8.860691129
제주,대정연안,20.07366667,8.18,8.890412117
제주,한림연안,19.86766667,8.171666667,8.829766719
남해,완도연안,16.653275,8.105,8.400874029
남해,도암만,17.77100833,8.06375,8.371946261
남해,진도연안,15.9384125,8.1275,9.075003488
서해,해남만,16.5836875,8.285,10.24003105
서해,목포연안,16.31758125,8.216875,9.876985396
서해,신안연안,16.1416,8.1025,8.630467435
서해,무안연안,17.00968333,8.076666667,8.445616213
서해,함평연안,16.77405,8.02375,8.716265325
서해,고창연안,15.48475625,8.105,8.362785206
서해,전주포연안,15.03760313,8.141875,9.002101427
서해,군산연안,15.3179075,8.068,8.402773018
서해,보령연안,15.060475,8.07625,8.758221849
서해,천수만,15.53391429,8.114285714,9.016089997
서해,태안연안,13.953555,8.0825,9.251115953
서해,가로림연안,13.57696667,8.037916667,9.0012482
서해,대산연안,13.757425,8.03375,8.948807804
서해,아산연안,14.343255,8.0255,8.871370469
서해,인천연안,14.58897391,8.061847826,8.914872047
서해,시화호,15.8058675,8.07875,6.912668615
동해,거진항,15.1729,8.175,8.877084708
동해,속초항,16.274425,8.185,8.871020579
동해,주문진항,17.2665,8.135,7.46676322
동해,묵호항,16.864925,8.23,9.106390868
동해,삼척항,17.05195,8.2025,8.469825363
동해,죽변항,17.42315,8.245,9.543399403
동해,후포항,19.26955,8.195,8.153713182
동해,축산항,19.9188,8.23,8.070697986
동해,강구항,18.0735,8.16,8.411027853
동해,포항 구항,17.243825,8.275,8.763285793
동해,구룡포항,18.6714,8.19,7.769998942
동해,감포항,18.5703,8.18,7.507518797
남해,울산항,17.02435,8.08,6.945526536
남해,대변항,19.8319,8.295,8.443780657
남해,부산항,20.2560875,8.27375,8.903657432
남해,신항,17.9093,8.29,9.856632384
남해,마산항,17.14795,8.335,8.804536669
남해,옥포항,18.7004,8.2575,9.416264345
남해,삼덕항,18.641025,8.2,8.223694214
남해,삼천포항,17.7578,8.195,8.39286042
남해,광 양 만,19.4268,8.27,8.983152979
남해,여수신항,17.95251667,8.291666667,8.601866608
남해,제주항,20.924775,8.185,8.301024831
남해,성산항,19.90125,8.19,8.849461591
남해,서귀포항,21.1523,8.1375,8.170144453
남해,한림항,20.101,8.1525,8.261610906
남해,완도항,15.83955,8.13,8.38632359
서해,목포항,15.501,8.2325,10.57292692
서해,대천항,14.93385,7.995,8.693304422
서해,평택항,15.7998,7.945,9.141103292
서해,인천항,14.5582,7.895,8.083578377
동해,동해중부,0.0,0.0,0.0
동해,동해남부,0.0,0.0,0.0
남해,남해동부,0.0,0.0,0.0
남해,남해서부,0.0,0.0,0.0
서해,서해남부,0.0,0.0,0.0
서해,서해중부,0.0,0.0,0.0
서해,섬진강,16.92552578,8.14425,8.846868095
서해,낙동강하구,17.7373975,8.07125,8.675528504
연안,진해만,17.61790909,8.229318182,8.766862068
특별관리,진해만,17.071275,8.27125,8.179707259
동해,거진연안,16.06,8.18,9.39
동해,속초연안,15.78,8.19,9.06
동해,양양연안,15.75,8.19,9.18
동해,주문진연안,15.84,8.22,9.42
동해,강릉연안,16.17,8.22,9.29
동해,동해연안,16.2,8.19,9.1
동해,삼척연안,16.83,8.23,9.19
동해,죽변연안,16.29,8.16,9.02
동해,후포연안,16.98,8.23,9.12
동해,축산연안,17.16,8.27,9.22
동해,강구연안,17.32,8.25,9.64
동해,월포연안,17.39,8.12,8.84
동해,영일만,16.72,8.17,9.38
동해,구룡포연안,16.2,8.2,9.25
동해,감포연안,16.71,8.2,9.11
남해,울산연안,15.65,8.1,8.32
남해,온산연안,15.42,8.12,8.45
남해,기장연안,18.21,8.23,8.77
남해,부산연안,17.57,8.19,8.72
남해,낙동강하구,17.57,8.2,8.71
남해,신항연안,16.61,8.08,8.93
남해,행암만,17.71,8.26,9.64
남해,마산만,17.61,8.23,8.68
남해,진해만,17.3,8.04,8.87
남해,거제도동안,17.15,8.17,8.55
남해,거제도남안,16.62,8.15,8.59
남해,통영연안,16.88,8.05,8.99
남해,통영외안,17.38,8.12,8.54
남해,고성자란만,17.2,8.04,8.75
남해,사천연안,16.76,8.08,8.48
남해,진주만,16.61,8.14,9.67
남해,남해도남안,17.48,8.25,9.28
남해,광양만,17.42,8.11,8.72
남해,여수연안,16.61,8.13,8.48
남해,가막만,17.05,8.25,9.45
남해,여자만,17.07,8.18,9.63
남해,고흥연안,16.86,8.13,8.73
남해,득량만,16.73,8.1,8.68
제주,제주연안,19.16,8.36,8.51
제주,조천연안,18.95,8.37,8.22
제주,성산연안,19.71,8.37,8.18
제주,표선연안,20.53,8.38,8.3
제주,서귀포연안,20.94,8.43,8.11
제주,대정연안,20.04,8.37,8.31
제주,한림연안,19.24,8.36,7.78
남해,완도연안,16.44,8.09,8.76
남해,도암만,17.05,8.03,9.27
남해,진도연안,16.1,8.07,8.9
서해,해남만,16.15,8.13,9.53
서해,목포연안,16.37,8.08,9.09
서해,신안연안,15.94,8.08,8.85
서해,무안연안,16.76,8.05,9.25
서해,함평연안,17.04,7.96,9.83
서해,고창연안,16.5,8.16,9.74
서해,전주포연안,15.93,8.21,9.88
서해,군산연안,15.58,8.13,9.5
서해,보령연안,15.65,8.06,9.57
서해,천수만,15.52,8.13,9.44
서해,태안연안,14.47,8.09,9.08
서해,가로림연안,13.75,8.04,8.77
서해,대산연안,13.71,8.03,8.68
서해,아산연안,14.22,8.04,8.64
서해,인천연안,14.23,8.03,8.78
서해,시화호,14.42,8.18,9.6
동해,거진항,15.69,8.16,9.17
동해,속초항,16.91,8.16,9.1
동해,주문진항,16.7,8.12,8.53
동해,묵호항,16.96,8.18,9.58
동해,삼척항,17.84,8.18,8.91
동해,죽변항,15.85,8.17,9.34
동해,후포항,16.69,8.17,9.23
동해,축산항,17.25,8.26,9.35
동해,강구항,18.14,8.26,9.61
동해,포항 구항,16.96,8.1,9.73
동해,구룡포항,16.78,8.18,9.26
동해,감포항,16.52,8.13,8.3
남해,울산항,17.43,7.96,7.24
남해,대변항,19.44,8.13,8.72
남해,부산항,18.21,8.15,9.48
남해,신항,15.65,8.13,9.73
남해,마산항,17.63,8.34,9.93
남해,옥포항,17.04,8.13,8.67
남해,삼덕항,17.04,8.09,9.49
남해,삼천포항,15.84,7.95,8.58
남해,광 양 만,17.84,8.02,8.48
남해,여수신항,15.72,8.07,7.74
남해,제주항,20.19,8.18,8.29
남해,성산항,19.37,8.44,9.19
남해,서귀포항,21.4,8.41,8.67
남해,한림항,19.84,8.33,8.09
남해,완도항,16.31,8.01,8.9
서해,목포항,16.54,8.16,10.12
서해,대천항,15.39,7.96,9.33
서해,평택항,14.09,8.05,9.19
서해,인천항,14.84,7.93,8.02
서해,섬진강,16.76,7.98,9.13
서해,낙동강하구,16.93,7.87,8.97
연안,진해만,17.34,8.02,9.18
특별관리,진해만,16.89,8.2,8.9
