조사년도,해역,연안명칭,평균,수온(C)표층,수온(C)저층,염분 표층,염분 저층,수소이온농도(ph) 표층,수소이온농도(ph) 저층,용존산소량(DO)(L당mg)표층,용존산소량(DO)(L당mg)저층,화학적산소요구량(COD)(L당mg)표층,화학적산소요구량(COD)(L당mg)저층,암모니아성질소(NH4-N)( L당 마이크로g)표층,암모니아성질소(NH4-N)( L당 마이크로g)저층,아질산염질소(NO2-N)( L당 마이크로g)표층,아질산염질소(NO2-N)( L당 마이크로g)저층,질산성질소(NO3-N)(L당 마이크로g)표층,질산성질소(NO3-N)(L당 마이크로g)저층,용존무기질소(DIN)( L당 마이크로g)표층,용존무기질소(DIN)( L당 마이크로g)저층,총질소(T-N)( L당 마이크로g)표층,총질소(T-N)( L당 마이크로g)저층,용존무기인(DIP)( L당 마이크로g)표층,용존무기인(DIP)( L당 마이크로g)저층,총인(T-P)( L당 마이크로g)표층,총인(T-P)( L당 마이크로g)저층,SiO2-Si( L당 마이크로g)표층,SiO2-Si( L당 마이크로g)저층,부유물질량(SS)(L당mg)표층,부유물질량(SS)(L당mg)저층,클로로필-a(L당 마이크로g)표층,클로로필-a(L당 마이크로g)저층,투명도(m)표층
2020,동해,거진연안,Avg.,16.06,13.37,32.99,33.79,8.18,8.14,9.39,8.77,1.6,1.37,10.41,5.27,1.96,2.68,41.76,49.37,54.13,57.33,163.54,160.28,7.29,9.39,21.76,20.75,212.61,229.29,5.07,4.53,2.09,1.58,6.06
2020,동해,속초연안,Avg.,15.78,14.03,33.49,33.79,8.19,8.21,9.06,8.92,1.29,1.25,9.54,6.25,1.85,2.31,32.07,40.51,43.46,49.07,123.05,137.3,5.56,7.17,16.23,18.85,182.56,192.34,4.6,3.27,2.28,1.99,9.18
2020,동해,양양연안,Avg.,15.75,13,33.55,33.88,8.19,8.16,9.18,8.95,1.34,1.13,7.42,4.73,1.93,3.18,32.54,51.69,41.89,59.6,122.01,146.03,5.21,9.49,16.03,20.36,168.11,221.89,6.08,3.79,1.99,1.72,8.82
2020,동해,주문진연안,Avg.,15.84,14.59,33.4,33.72,8.22,8.21,9.42,9.1,1.59,1.62,7.94,4.65,1.11,1.8,23.88,31.26,32.92,37.71,129.42,140.94,3.82,5.16,15.81,17.04,135.45,159.42,7.55,4.54,2.98,2.71,8
2020,동해,강릉연안,Avg.,16.17,11.87,33.11,33.87,8.22,8.15,9.29,8.87,1.34,1.2,6.4,4.13,1.68,2.76,28.25,68.84,36.33,75.73,131.49,179.8,5.03,12.43,16.11,23.59,148.14,246.17,8.44,4.77,2.85,1.98,8.18
2020,동해,동해연안,Avg.,16.2,13.28,32.99,33.91,8.19,8.13,9.1,8.47,1.38,1.2,3.46,7.57,2.41,2.98,30.71,67.58,36.59,78.14,137.77,171.8,5.43,11.52,17.26,22.77,157.48,245.47,7.79,4.27,2.3,1.64,9.03
2020,동해,삼척연안,Avg.,16.83,13.58,33.1,33.98,8.23,8.16,9.19,8.5,1.38,1.32,4.17,4.65,2.53,2.71,36.98,59.76,43.67,67.12,139.48,170.08,5.73,11.03,16.18,21.93,176.48,239.66,6.79,6.13,1.45,1.31,9.31
2020,동해,죽변연안,Avg.,16.29,13.63,33.19,34.04,8.16,8.1,9.02,8.09,1.32,1.12,9.05,7.29,2,3.19,36.84,79.5,47.89,89.98,163.98,203.49,6.73,14.49,21.53,26.67,184.02,307.37,6.28,4.34,2.39,1.65,8.97
2020,동해,후포연안,Avg.,16.98,13.54,33.58,34.12,8.23,8.14,9.12,7.8,1.14,1.17,3.96,4.23,1.83,3.46,34.32,97.09,40.11,104.78,131.26,201.52,5.18,16.72,15.41,28.56,156.32,348.52,8.71,4.54,1.21,1.67,9.91
2020,동해,축산연안,Avg.,17.16,9.12,33.85,34.05,8.27,8.08,9.22,7.98,1.4,1.08,4.1,5.32,1.81,2.84,33.29,156.26,39.21,164.42,134.07,252.6,5.34,26.94,16.72,37.6,164.77,473.74,6.14,6.76,1.54,0.53,10.31
2020,동해,강구연안,Avg.,17.32,12.62,33.7,34.18,8.25,8.12,9.64,8.21,1.51,1.23,3.26,2.91,1.51,3.02,30.05,101.76,34.82,107.69,124.77,202.47,4.83,17.69,14.5,28.14,164.1,362.58,4.98,5.23,1.32,1.58,7.85
2020,동해,월포연안,Avg.,17.39,14.52,33.31,34.1,8.12,8,8.84,7.11,1.43,1.33,6.82,6.01,1.19,3.55,17.67,82.56,25.69,92.13,119.69,193.71,3.06,14.59,14.12,26.88,106.6,315.05,6.99,5.64,0.98,1.33,8.39
2020,동해,영일만,Avg.,16.72,15.1,32.92,33.54,8.17,8.1,9.38,8.27,1.32,1.26,13.91,12.05,2.71,3.09,46.45,52.03,63.07,67.17,184.47,181.78,6.26,8.85,20.37,24.52,212.53,244.89,9.64,8.06,1.78,2.18,4.97
2020,동해,구룡포연안,Avg.,16.2,14.17,33.63,33.94,8.2,8.11,9.25,7.58,1.61,1.09,4.99,3.87,2.28,4.09,38.89,83.99,46.16,91.95,155.75,175.92,6.34,14.86,21.39,24.65,216.19,358.44,7.75,5.63,2.52,1.21,6.63
2020,동해,감포연안,Avg.,16.71,14.03,33.68,34.05,8.2,8.11,9.11,7.72,1.44,1.24,3.79,4.44,2.55,4.37,38.63,97.45,44.97,106.26,146.16,193.34,6.64,18.05,20.66,28.33,263.52,388.74,8.18,6.22,2.53,1.4,5.99
2020,남해,울산연안,Avg.,15.65,14.06,32.69,33.77,8.1,8.07,8.32,7.69,1.62,1.38,49.47,30,8.46,7.34,142.69,131.24,200.62,168.59,325.98,273.74,19.98,21.74,38.73,37.61,470.53,462.21,9.15,11.33,3.82,2.1,3.4
2020,남해,온산연안,Avg.,15.42,13.85,33.41,33.85,8.12,8.08,8.45,7.96,1.26,1.04,23.53,17.24,6.99,7.16,126.34,139.45,156.87,163.86,260.91,257.08,16.84,20.6,32.08,35.44,379.94,457.33,8.16,9.56,3.88,2.24,3.83
2020,남해,기장연안,Avg.,18.21,14.84,33.34,33.93,8.23,8.18,8.77,8.2,1.42,1.38,4.69,9.3,3.6,6.66,42.63,93.97,50.92,109.94,157.44,205.26,7.04,16.62,19.42,29.48,240.65,364.98,7.45,18.41,2.77,2.9,4.33
2020,남해,부산연안,Avg.,17.57,16.16,33.04,33.46,8.19,8.18,8.72,8.38,1.51,1.4,19.98,19.91,5.47,7.82,64.84,87.01,90.29,114.74,217.69,212.82,9.58,13.9,25.06,28.85,255.63,338.69,7.05,11.67,3.17,2.65,4.16
2020,남해,낙동강하구,Avg.,17.57,15.59,30.93,33.77,8.2,8.08,8.71,7.26,2.2,1.4,13.86,9.2,5.74,9.11,114.02,99.36,133.63,117.67,272.9,220.93,6.16,16.8,27.79,31.88,374.62,386.38,10.28,13.97,6.6,1.57,4.26
2020,남해,신항연안,Avg.,16.61,15.23,32.09,32.89,8.08,8.08,8.93,8.37,1.64,1.51,26.89,29.92,12.13,12.56,92.42,96.34,131.44,138.82,261.62,251.57,14.79,16.47,36.17,36,399.25,399.88,16.39,18.26,3.91,3.54,1.3
2020,남해,행암만,Avg.,17.71,16.78,30.11,30.9,8.26,8.19,9.64,8.36,3.33,3.13,52.53,68.03,11.54,11.1,70.62,65.79,134.68,144.92,403.06,372.33,7.07,8.13,46.08,44.34,448.08,498.73,11.78,11.08,13.44,11.65,2.62
2020,남해,마산만,Avg.,17.61,16.23,28.88,31,8.23,8.1,8.68,7.44,2.93,2.74,63.17,98.57,14.63,13.94,63.39,53.31,141.19,165.82,392.55,377.35,11.7,19.87,46.56,51.72,691.67,724.89,11.78,9.11,8.16,5.16,2.42
2020,남해,진해만,Avg.,17.3,14.85,31.14,32.45,8.04,7.96,8.87,7.16,2.18,1.8,28.17,58.62,4.31,9.12,22.04,47.73,54.53,115.47,223.8,256.43,8.68,19.78,28.52,39.54,349.41,575.97,7.1,7.87,4.18,3.43,4.27
2020,남해,거제도동안,Avg.,17.15,14.53,32.69,33.91,8.17,8.09,8.55,7.47,1.78,1.27,3.26,7.29,3.07,6.04,41.65,95.57,47.98,108.9,170.65,212.61,6.29,17.21,21.73,28.71,240.92,394.93,6.75,14.57,3.25,1.78,4.66
2020,남해,거제도남안,Avg.,16.62,15.35,32.96,33.56,8.15,8.13,8.59,8.06,1.51,1.39,11.98,18.47,3.62,5.73,37.02,67.02,52.62,91.22,169.07,203.34,9.7,17.76,25.74,32.71,315.86,460.59,7.28,10.48,3.37,2.69,4.48
2020,남해,통영연안,Avg.,16.88,15.97,32.35,32.92,8.05,8.04,8.99,8.63,1.53,1.49,23.34,18.03,4.89,6.14,37.67,46.11,65.9,70.28,197.83,202.99,13.15,15.1,30.9,32.32,332.28,378.54,8.92,8.1,3.1,3.35,3.58
2020,남해,통영외안,Avg.,17.38,15.34,32.71,33.65,8.12,8.05,8.54,7.45,1.57,1.34,7.99,8.09,4.71,6.2,39.55,80.46,52.25,94.75,172.43,202.9,8.66,16.81,23.11,29.53,287.76,434.92,7.71,11.51,2.33,1.48,3.84
2020,남해,고성자란만,Avg.,17.2,16.42,32.07,32.53,8.04,8.02,8.75,8.24,1.56,1.66,18.08,13.25,3.9,5.26,17.86,19.67,39.83,38.18,173.56,165.54,9.88,12.94,25.11,25.69,422.02,474.69,9.25,9.91,1.86,1.63,4.02
2020,남해,사천연안,Avg.,16.76,15.61,30.8,32.89,8.08,8.07,8.48,7.97,1.56,1.38,20.56,20.48,6.53,7.36,68.96,36.67,96.05,64.51,217,175.95,15.05,13.92,31.09,29.44,517.22,442.28,11.74,12.89,2.24,1.73,3.02
2020,남해,진주만,Avg.,16.61,16.02,30.29,31.24,8.14,8.14,9.67,9.1,2.24,2.19,17.04,23.25,4.88,6.54,35.24,43.2,57.17,72.99,241,241.53,10.63,12.43,39.34,39.97,454.21,495.39,17.25,19.27,6.93,7.17,2.05
2020,남해,남해도남안,Avg.,17.48,14.84,32.11,33.52,8.25,8.16,9.28,7.53,1.79,1.26,5.94,8.44,3.9,6.85,31.42,81.75,41.25,97.04,179.81,205.47,7.22,16.77,25.32,29.65,262.63,427.51,8.87,12.94,4.92,2.07,3.47
2020,남해,광양만,Avg.,17.42,15.63,28.45,32.11,8.11,8.07,8.72,7.68,2.12,1.79,39.45,39.43,12.81,13.69,136.81,93.49,189.07,146.6,340.63,282.91,19.75,24.32,42.64,41.48,721.95,588.12,12.5,15.16,7.91,2.31,2.12
2020,남해,여수연안,Avg.,16.61,15.12,31.52,32.96,8.13,8.07,8.48,7.41,1.72,1.38,19.7,22.28,8.87,11.52,61.74,72.83,90.31,106.63,229.89,248.57,13.58,18.52,29.94,32.66,450.56,522.79,9.14,13.86,6.43,2.21,2.53
2020,남해,가막만,Avg.,17.05,15.78,31.87,32.45,8.25,8.14,9.45,8.04,2.42,1.65,16.26,32.97,3.87,7.86,30.25,37.36,50.37,78.19,197.96,215,9.26,14.95,30.3,33.93,349.41,442.84,14.81,15.64,5.71,3.88,2.86
2020,남해,여자만,Avg.,17.07,15.85,29.94,31.57,8.18,8.14,9.63,8.53,2.45,1.9,27.95,11.89,5.39,10.57,29.41,33.68,62.75,56.14,254.83,255.09,9.12,14.65,41.37,43.04,467.91,512.39,23.01,29.69,9.95,6.12,1.67
2020,남해,고흥연안,Avg.,16.86,15.81,32.59,32.83,8.13,8.12,8.73,8.15,1.33,1.43,9.84,8.93,7.5,10.4,44.01,50.78,61.36,70.1,180.06,201.78,9.87,11.76,28.83,35.29,361.74,357.8,20.08,38.05,2.57,2.29,2.05
2020,남해,득량만,Avg.,16.73,15.69,31.12,31.94,8.1,8.09,8.68,8.45,1.76,1.67,24.21,23.57,5.74,7.99,37.7,40.96,67.66,72.52,221.16,231.34,12.66,15.92,38.68,41.18,402,443.06,20.4,27.28,5.96,5.11,1.53
2020,제주,제주연안,Avg.,19.16,18.63,32.93,33.58,8.36,8.34,8.51,8.16,1.02,1.37,9.64,13.14,2.05,2.65,55.37,41.57,67.06,57.36,164.85,152.3,6.4,6.44,15.66,14.8,338.3,241.89,8.58,8.4,1.26,1.7,7.24
2020,제주,조천연안,Avg.,18.95,17.52,32.99,33.67,8.37,8.33,8.22,7.92,1.45,1.65,11.4,7.23,1.86,3.03,34.7,37.18,47.96,47.43,153.62,144.47,6.52,7.3,13.91,14.01,189.32,189.61,8.53,9.06,1.21,0.85,9.79
2020,제주,성산연안,Avg.,19.71,18.42,33.33,33.8,8.37,8.32,8.18,7.99,1.07,1.34,3.85,5.76,1.98,2.93,21.67,37.24,27.5,45.93,121.95,148.02,4.8,6.84,11.71,13.33,134.54,175.02,9.67,8.91,1.44,0.86,9
2020,제주,표선연안,Avg.,20.53,18.22,33.5,34.02,8.38,8.33,8.3,7.93,1.45,1.41,9.55,6.31,1.84,2.72,18.97,28.77,30.36,37.8,134.23,131.11,4.46,5.59,13.33,12.93,147.04,160.48,9.11,9.24,1.99,1.22,9.01
2020,제주,서귀포연안,Avg.,20.94,18.86,33.55,34.05,8.43,8.37,8.11,7.97,1.41,1.38,5.76,5.4,1.68,1.97,25.73,23.4,33.17,30.77,128.42,117.12,3.91,5.25,12.34,12.82,169.4,142.96,8.88,10.34,1.19,1.62,8.76
2020,제주,대정연안,Avg.,20.04,18.96,33.7,33.92,8.37,8.35,8.31,7.53,1.22,1.16,10.88,11.89,1.71,2.38,29.05,35.33,41.64,49.59,131.74,132.24,5.54,6.7,13.4,14.23,159.81,170.07,7.6,7.55,1.25,1.5,8.87
2020,제주,한림연안,Avg.,19.24,18.65,33.59,33.86,8.36,8.34,7.78,7.57,1.18,1.14,10.59,8.36,2.08,2.26,32.39,34.4,45.06,45.02,146.21,138.99,5.56,7.05,14.15,14.68,168.25,161.99,8.28,6.59,1.59,1.65,7.06
2020,남해,완도연안,Avg.,16.44,16.09,32.89,33,8.09,8.19,8.76,8.57,1.61,1.64,9.41,11.13,5.41,5.01,63.77,63.58,78.58,79.73,194.38,198.47,11.97,11.2,26.98,27.06,230.18,224.18,7.7,14.67,0.65,0.68,2.04
2020,남해,도암만,Avg.,17.05,16.81,31.04,31.4,8.03,8.12,9.27,9.03,1.72,1.84,15.43,16.67,4.93,5.55,49.65,50.39,70.01,72.61,241.42,236.11,10.25,11.66,34.22,39.68,271.84,286.47,12.5,28.2,2.21,1.91,1.27
2020,남해,진도연안,Avg.,16.1,15.76,32.66,32.7,8.07,8.09,8.9,8.72,1.59,1.69,3.84,4.24,2.93,3.22,83.1,88.66,89.87,96.12,218.28,220.8,12.06,12.98,33.79,35.02,254.5,266.84,32.64,50.3,0.9,1.2,1.02
